Labelled SSOC,Labelled SSOC Title
42241,Receptionist (general)
51421,Beautician
21494,Quantity surveyor
21422,Building construction engineer
25121,Software developer
36910,Private tutor (academic)
24213,Business and financial project management professional
12222,Marketing manager
52302,Cashier (general)
21414,Quality control/assurance engineer
31720,"Safety inspector (vehicles, processes and products)"
24212,Business consultant
25113,Enterprise/Solution architect
71151,Carpenter
14121,Restaurant manager
35123,IT support technician (including IT user helpdesk technician)
21522,Computer engineer
14201,Retail manager
24111,Accountant (excluding tax accountant)
53203,Dental aide/assistant
12112,Administration manager
12212,Business development manager
51312,Waiter
13243,Transport/technical operations manager (except port/shipping operations)
13292,Quality control/assurance manager
41201,Secretary
93334,Warehouse worker
51501,Housekeeper (hotels and other establishments)
51411,Hair stylist/Hairdresser
83441,Fork lift truck operator
33461,Logistics/production planner
12123,Training manager
26111,Advocate/Solicitor (practising)
24314,"Digital marketing professional (e.g. online, social media, e-commerce marketing professional)"
13410,Pre-school education manager
24233,Personnel/Human resource officer
24132,Compliance officer/Risk analyst (financial)
33221,Business development executive
11201,Managing director/Chief executive officer
43112,Ledger and accounts clerk
42243,Medical/Dental receptionist
51322,Barista
22200,"Registered nurse and other nursing professionals (e.g. clinical nurse, nurse educator, excluding enrolled nurse)"
25122,Web and mobile applications developer
24320,Public relations/Corporate communications professional
21664,Interaction designer
22662,Speech therapist
36100,Pre-primary education teacher
24232,Executive search consultant
25211,Database administrator
25244,Digital forensics specialist
25232,IT infrastructure specialist
21412,Production engineer
21511,Electrical engineer
74110,Electrician
91121,Housekeeping/Linen room attendant
91131,"Office, commercial and industrial establishments indoor cleaner"
83431,Crane/Hoist operator (excluding port)
21415,Process engineer
21231,Statistical officer/Data analyst
31124,Resident technical officer
21523,Semi-conductor engineer
21222,Data scientist
21521,Electronics engineer
12241,Customer service manager
24121,Financial/Investment adviser (e.g. relationship manager)
13241,Supply and distribution/Logistics/Warehousing manager
83229,Other car and light goods vehicle drivers
24240,Training and staff development professional
12113,Audit manager
72120,Welder and flame cutter
42245,Customer service officer/clerk
26413,Content writer
25291,Data centre engineer
23622,Early intervention teacher for infants and children
71271,Air-conditioning/Refrigeration equipment mechanic
83321,Lorry driver
41101,Office clerk (including filing and copying)
51491,Masseur (non-medical) (including foot reflexologist)
21441,Mechanical engineer
26374,School counsellor
75363,Leather goods maker/assembler
22680,Occupational therapist
12191,Premises and facilities maintenance manager (excluding building security manager)
25242,Penetration testing specialist
93201,Hand packer
21130,Chemist
32200,Enrolled/Assistant nurse (excluding registered nurse)
13230,Construction manager
52421,Sales demonstrator
53120,Teacher aide
21661,Graphic designer
83329,Other heavy truck and lorry drivers
35121,IT Infrastructure technician
23109,"Other university, polytechnic and higher education teachers"
71220,Floor/Wall tiler
21421,Civil engineer
32400,Veterinary technician/assistant
34321,Interior designer
24131,"Financial analyst (e.g. equities analyst, credit analyst, investment research analyst)"
94101,Kitchen assistant
96272,Concierge (hotel)
21442,Industrial machinery and tools engineer
75440,Fumigator and other pest and weed controller
33131,Assistant accountant
32112,Medical X-ray technician
33222,After sales adviser/Client account service executive
24362,Ship broker (e.g. charter or sales & purchase)
21430,Environmental engineer
43212,Storekeeper
24231,Human resource consultant (excluding executive search consultant)
13302,Software and applications manager
24331,Technical sales professional
21319,"Other biologists, botanists, zoologists and related professionals"
11203,Chief operating officer/General Manager
96255,"Sports and recreational attendant (e.g. golf marshal, golf caddie, fun fair attendant, bowling alley attendant, swimming pool attendant)"
36205,Dance instructor (extracurriculum)
12121,Personnel/Human resource manager
21110,Physicist/Astronomer
24160,Insurance underwriter
31211,Aeronautical engineering technician
34310,Photographer
26543,"Artistic director (stage, film, television, game and radio)"
91153,Dishwasher
31003,Assistant electronics engineer
13451,School principal
22699,Other health professionals n.e.c.
74222,Computer and related electronic equipment mechanic
34123,Volunteer executive
21411,Manufacturing engineer
31002,Assistant electrical engineer
12230,Research and development manager
51311,Captain waiter/Waiter supervisor
21631,Fashion designer
25151,ICT quality assurance specialist
12133,Risk management manager
33224,Online sales channel executive
41320,Data entry clerk
32572,Occupational health and safety inspector
